date,values
2022-06-14,7.68
2022-06-13,9.0
2022-06-10,8.78
2022-06-09,8.16
2022-06-08,9.43
2022-06-07,9.28
2022-06-06,9.08
2022-06-03,8.34
2022-06-02,8.9
2022-06-01,8.47
2022-05-31,8.46
2022-05-27,8.3
2022-05-26,9.19
2022-05-25,9.44
2022-05-24,8.87
2022-05-23,8.16
2022-05-20,7.97
2022-05-19,8.21
2022-05-18,8.53
2022-05-17,8.26
2022-05-16,8.07
2022-05-13,7.75
2022-05-12,7.25
2022-05-11,7.53
2022-05-10,6.78
2022-05-09,8.06
2022-05-06,8.35
2022-05-05,8.42
2022-05-04,8.3
2022-05-03,7.84
2022-05-02,7.3
2022-04-29,6.84
2022-04-28,6.97
2022-04-27,6.91
2022-04-26,6.89
2022-04-25,6.42
2022-04-22,6.59
2022-04-21,6.88
2022-04-20,7.12
2022-04-19,7.44
2022-04-18,7.48
2022-04-14,6.94
2022-04-13,6.68
2022-04-12,6.59
2022-04-11,6.35
2022-04-08,6.38
2022-04-07,6.05
2022-04-06,6.29
2022-04-05,5.95
2022-04-04,5.72
2022-04-01,5.43
2022-03-31,5.46
2022-03-30,5.32
2022-03-29,5.32
2022-03-28,5.52
2022-03-25,5.51
2022-03-24,5.19
2022-03-23,5.26
2022-03-22,5.0
2022-03-21,4.77
2022-03-18,4.87
2022-03-17,4.8
2022-03-16,4.68
2022-03-15,4.46
2022-03-14,4.59
2022-03-11,4.79
2022-03-10,4.65
2022-03-09,4.55
2022-03-08,4.61
2022-03-07,4.93
2022-03-04,4.74
2022-03-03,4.63
2022-03-02,4.65
2022-03-01,4.36
2022-02-28,4.46
2022-02-25,4.63
2022-02-24,4.78
2022-02-23,4.59
2022-02-22,4.48
2022-02-21,4.61
2022-02-18,4.61
2022-02-17,4.57
2022-02-16,4.39
2022-02-15,4.31
2022-02-14,4.05
2022-02-11,4.04
2022-02-10,4.03
2022-02-09,4.13
2022-02-08,4.3
2022-02-07,4.44
2022-02-04,5.34
2022-02-03,5.84
2022-02-02,6.7
2022-02-01,5.45
2022-01-31,5.56
2022-01-28,5.69
2022-01-27,4.43
2022-01-26,4.43
2022-01-25,4.24
2022-01-24,4.2
2022-01-21,4.11
2022-01-20,4.45
2022-01-19,4.89
2022-01-18,4.55
2022-01-17,4.37
2022-01-14,4.37
2022-01-13,4.78
2022-01-12,4.62
2022-01-11,4.16
2022-01-10,4.16
2022-01-07,3.83
2022-01-06,3.94
2022-01-05,3.78
2022-01-04,3.73
2022-01-03,3.74
2021-12-31,3.82
2021-12-30,3.82
2021-12-29,3.4
2021-12-28,3.32
2021-12-27,3.45
2021-12-23,3.56
2021-12-22,3.95
2021-12-21,3.96
2021-12-20,3.91
2021-12-17,3.71
2021-12-16,3.67
2021-12-15,3.79
2021-12-14,3.71
2021-12-13,4.05
2021-12-10,3.65
2021-12-09,3.67
2021-12-08,3.79
2021-12-07,3.6
2021-12-06,3.66
2021-12-03,3.79
2021-12-02,4.08
2021-12-01,4.31
2021-11-30,4.52
2021-11-29,4.9
2021-11-26,4.93
2021-11-25,4.93
2021-11-24,4.93
2021-11-23,4.95
2021-11-22,4.83
2021-11-19,4.9
2021-11-18,4.95
2021-11-17,4.82
2021-11-16,5.11
2021-11-15,4.77
2021-11-12,4.97
2021-11-11,4.81
2021-11-10,4.56
2021-11-09,5.08
2021-11-08,5.53
2021-11-05,5.51
2021-11-04,5.73
2021-11-03,5.59
2021-11-02,5.33
2021-11-01,5.22
2021-10-29,5.49
2021-10-28,5.68
2021-10-27,5.91
2021-10-26,5.59
2021-10-25,5.72
2021-10-22,5.1
2021-10-21,4.94
2021-10-20,4.87
